UniprotID	Score
P17612	1.1153048971408008
P22694	2.270081619055162
Q13237	1.7074929319384058
Q04759	1.157794679367023
Q8NI60	1.6356757784000298
Q13554	3
O75676	2.758693227964949
P51817	0.9181112357965007
Q9P1W9	0.2544392008231413
P05771	1.0257928558270173
Q13976	0.19515724863120099
P17252	0.5319965201855905
P49137	0.2051831251842584
Q16644	0.14439703710733376
P11309	-0.2490238569998895
Q05513	0.8752199364002586
Q9HBY8	1.0701550351035927
P48729	1.306576932872975
Q05655	0.4263545838072287
O00141	0.9964444820474196
Q9UQ88	0.33420925906032206
P16066	0.1944385375674047
O75582	-0.142823324953683
P50613	0.007469724684759704
P15056	-0.0693592039453712
P10398	-0.0693592039453712
Q8N568	-0.4664386624022465
Q96GD4	-0.4557520258469996
Q96BR1	-0.4997870671241138
Q9UBS0	-0.47710851983047364
Q86SG6	-0.5370836557658754
O43930	-0.6818713615316905
P23443	-0.6930988746905187
Q00526	-0.8547840939383451
Q13153	-0.8245435257820537
Q02156	-0.7478593850659738
P05129	-0.9004091349807006
P31751	-1.021597381260661
P41743	-0.9485182823774649
P24723	-1.04793634703914
P31749	-1.021597381260661
P04049	-1.1650410147708505
O96017	-1.2471552797380343
Q00535	-1.4111635321812646
P45984	-1.080683678555002
Q16539	-1.3700255505143182
P24941	-1.425692342853127
P53779	-1.1879292636046976
P45983	-1.1879292636046976
P06493	-1.5007809272895747
P28482	-1.3132534843760126
O14757	-1.8191060731870443
Q15759	-1.949641893734404
P27361	-1.4609501711275232
O15264	-1.847746075307202
P53778	-2.179871246442654
Q15349	-2.042049948127789
Q9UK32	-2.456759873517574
Q15418	-2.128489758370346
P51812	-2.139607367216295
P20794	-1.670046293264072
Q9UHD2	-1.670046293264072
Q9UPZ9	-1.670046293264072
Q92772	-1.7779859116450956
O76039	-2.167075288992786
Q13164	-2.413118921794382
Q16512	-3
