Kinase,Z,method,AvgZ
PAKB,3.52,710418301>0.15,0.48416666666666663
BRSK,2.39,710418301>0.15,3.2475
DMPK,2.34,710418301>0.15,1.5008333333333332
PHK,2.2,710418301>0.15,0.2641666666666667
DYRK,2.15,710418301>0.15,1.3975
PDK1,1.99,710418301>0.15,1.4583333333333333
MELK,1.87,710418301>0.15,0.25249999999999995
P38,1.87,710418301>0.15,1.125
RIPK,-1.79,710418301>0.15,-1.1258333333333335
ERK,1.78,710418301>0.15,1.2091666666666667
DAPK,1.66,710418301>0.15,1.5108333333333333
JNK,1.66,710418301>0.15,0.7333333333333333
MLCK,1.62,710418301>0.15,0.75
MAPKAPK,1.55,710418301>0.15,0.5891666666666666
CDK,1.49,710418301>0.15,0.365
PKN,1.44,710418301>0.15,1.6891666666666667
SGK,1.44,710418301>0.15,-0.2833333333333333
NMO,-1.41,710418301>0.15,-1.1833333333333333
RAD53,1.32,710418301>0.15,0.4633333333333333
IKK,-1.12,710418301>0.15,-1.5275
CAMK2,-1.03,710418301>0.15,-0.7875
CK1,-0.99,710418301>0.15,-1.1341666666666668
MST,0.94,710418301>0.15,0.6125
NDR,-0.94,710418301>0.15,-0.3566666666666667
MTOR,0.92,710418301>0.15,-0.6033333333333333
AMPK,-0.9,710418301>0.15,-0.7691666666666667
MSN,-0.8,710418301>0.15,-0.6941666666666667
ATM,-0.79,710418301>0.15,-0.69
PKCD,-0.73,710418301>0.15,-0.36
PAKA,0.71,710418301>0.15,-0.08916666666666666
AKT,0.7,710418301>0.15,-0.43833333333333335
BARK2,-0.69,710418301>0.15,-0.6083333333333333
ATR,-0.68,710418301>0.15,-0.6475000000000001
PEK,0.67,710418301>0.15,-0.15750000000000003
PRKDC,-0.61,710418301>0.15,-0.6916666666666667
TTK,-0.59,710418301>0.15,-0.49166666666666664
HAL,-0.58,710418301>0.15,-0.49083333333333334
TLK,-0.58,710418301>0.15,-0.485
PKCA,0.57,710418301>0.15,0.20666666666666664
NAK,-0.57,710418301>0.15,-0.48416666666666663
PKCH,0.56,710418301>0.15,1.3383333333333334
NUAK,-0.55,710418301>0.15,-0.48833333333333334
AUR,-0.52,710418301>0.15,0.09833333333333334
LKB,-0.5,710418301>0.15,-0.2933333333333333
PIM,0.42,710418301>0.15,-0.48499999999999993
ULK,-0.42,710418301>0.15,-0.3441666666666667
PKG,-0.42,710418301>0.15,0.07833333333333331
STE11,-0.41,710418301>0.15,-0.19916666666666666
TAO,-0.4,710418301>0.15,-0.3466666666666667
CLK,-0.4,710418301>0.15,-0.3383333333333333
RAF,0.4,710418301>0.15,-0.5308333333333334
KHS,-0.4,710418301>0.15,-0.3466666666666667
PASK,-0.4,710418301>0.15,-0.34
NIK,-0.39,710418301>0.15,-0.34
WNK,-0.39,710418301>0.15,1.9858333333333333
MLK,-0.39,710418301>0.15,-0.965
BUD32,-0.39,710418301>0.15,-0.34833333333333333
SLK,-0.39,710418301>0.15,-0.3491666666666667
CAMKK,-0.39,710418301>0.15,-0.3441666666666667
MOS,-0.38,710418301>0.15,-0.34
RSK,-0.38,710418301>0.15,-1.3633333333333333
PDHK,-0.37,710418301>0.15,-0.7558333333333334
PKCI,0.36,710418301>0.15,0.2358333333333333
VRK1,0.34,710418301>0.15,0.6666666666666667
COT,0.32,710418301>0.15,-0.36333333333333334
PLK,-0.27,710418301>0.15,-0.7558333333333334
GRK,0.23,710418301>0.15,-0.41666666666666663
PKA,0.22,710418301>0.15,0.16083333333333333
MARK,0.2,710418301>0.15,0.9908333333333333
CK2,-0.15,710418301>0.15,-0.26833333333333337
CHK1,0.15,710418301>0.15,0.48333333333333334
FRAY,0.12,710418301>0.15,-0.21833333333333335
STE7,-0.08,710418301>0.15,-0.6966666666666667
IRAK,0.07,710418301>0.15,0.28833333333333333
QIK,-0.04,710418301>0.15,-1.01
STKR,-0.04,710418301>0.15,-0.15916666666666668
GSK,0.03,710418301>0.15,-0.2691666666666667
PKD,-0.03,710418301>0.15,-0.7058333333333333
CAMK1,0.03,710418301>0.15,0.07
NEK,-0.02,710418301>0.15,-0.33416666666666667
BRSK,2.61,710418301>0.2,3.2475
MLCK,2.14,710418301>0.2,0.75
DMPK,1.97,710418301>0.2,1.5008333333333332
RIPK,-1.95,710418301>0.2,-1.1258333333333335
PAKB,1.72,710418301>0.2,0.48416666666666663
PHK,1.72,710418301>0.2,0.2641666666666667
DYRK,1.66,710418301>0.2,1.3975
PKN,1.61,710418301>0.2,1.6891666666666667
DAPK,1.6,710418301>0.2,1.5108333333333333
CK1,-1.56,710418301>0.2,-1.1341666666666668
MST,1.54,710418301>0.2,0.6125
IKK,-1.37,710418301>0.2,-1.5275
MAPKAPK,1.33,710418301>0.2,0.5891666666666666
RAF,-1.28,710418301>0.2,-0.5308333333333334
ERK,1.23,710418301>0.2,1.2091666666666667
NMO,-1.23,710418301>0.2,-1.1833333333333333
P38,1.16,710418301>0.2,1.125
PKCH,1.04,710418301>0.2,1.3383333333333334
GSK,-1.01,710418301>0.2,-0.2691666666666667
PDK1,1,710418301>0.2,1.4583333333333333
CDK,0.96,710418301>0.2,0.365
PKCA,0.92,710418301>0.2,0.20666666666666664
JNK,0.88,710418301>0.2,0.7333333333333333
RAD53,0.83,710418301>0.2,0.4633333333333333
PAKA,0.82,710418301>0.2,-0.08916666666666666
NDR,-0.79,710418301>0.2,-0.3566666666666667
CAMK2,-0.77,710418301>0.2,-0.7875
RSK,-0.77,710418301>0.2,-1.3633333333333333
SGK,0.77,710418301>0.2,-0.2833333333333333
ATM,-0.72,710418301>0.2,-0.69
MSN,-0.71,710418301>0.2,-0.6941666666666667
GRK,0.64,710418301>0.2,-0.41666666666666663
COT,0.63,710418301>0.2,-0.36333333333333334
VRK1,0.62,710418301>0.2,0.6666666666666667
BARK2,-0.61,710418301>0.2,-0.6083333333333333
QIK,-0.58,710418301>0.2,-1.01
TTK,-0.52,710418301>0.2,-0.49166666666666664
TLK,-0.51,710418301>0.2,-0.485
HAL,-0.51,710418301>0.2,-0.49083333333333334
NAK,-0.5,710418301>0.2,-0.48416666666666663
AMPK,-0.5,710418301>0.2,-0.7691666666666667
PKD,-0.5,710418301>0.2,-0.7058333333333333
NUAK,-0.5,710418301>0.2,-0.48833333333333334
MELK,0.49,710418301>0.2,0.25249999999999995
CHK1,0.49,710418301>0.2,0.48333333333333334
CAMK1,0.49,710418301>0.2,0.07
PIM,0.48,710418301>0.2,-0.48499999999999993
PKCD,-0.45,710418301>0.2,-0.36
ATR,-0.43,710418301>0.2,-0.6475000000000001
MARK,0.42,710418301>0.2,0.9908333333333333
IRAK,0.39,710418301>0.2,0.28833333333333333
WNK,-0.36,710418301>0.2,1.9858333333333333
SLK,-0.36,710418301>0.2,-0.3491666666666667
TAO,-0.36,710418301>0.2,-0.3466666666666667
CAMKK,-0.36,710418301>0.2,-0.3441666666666667
BUD32,-0.35,710418301>0.2,-0.34833333333333333
ULK,-0.35,710418301>0.2,-0.3441666666666667
KHS,-0.35,710418301>0.2,-0.3466666666666667
NIK,-0.34,710418301>0.2,-0.34
PRKDC,-0.34,710418301>0.2,-0.6916666666666667
MOS,-0.34,710418301>0.2,-0.34
PASK,-0.34,710418301>0.2,-0.34
CLK,-0.32,710418301>0.2,-0.3383333333333333
NEK,-0.31,710418301>0.2,-0.33416666666666667
AKT,-0.31,710418301>0.2,-0.43833333333333335
PKG,-0.26,710418301>0.2,0.07833333333333331
STKR,0.26,710418301>0.2,-0.15916666666666668
PKCI,-0.24,710418301>0.2,0.2358333333333333
LKB,-0.23,710418301>0.2,-0.2933333333333333
FRAY,-0.22,710418301>0.2,-0.21833333333333335
AUR,-0.21,710418301>0.2,0.09833333333333334
MTOR,0.15,710418301>0.2,-0.6033333333333333
STE11,-0.15,710418301>0.2,-0.19916666666666666
CK2,0.13,710418301>0.2,-0.26833333333333337
STE7,0.12,710418301>0.2,-0.6966666666666667
PLK,-0.12,710418301>0.2,-0.7558333333333334
PKA,0.06,710418301>0.2,0.16083333333333333
MLK,-0.05,710418301>0.2,-0.965
PEK,0.04,710418301>0.2,-0.15750000000000003
PDHK,-0.01,710418301>0.2,-0.7558333333333334
BRSK,3.25,710418301>0.3,3.2475
PKN,2.03,710418301>0.3,1.6891666666666667
RSK,-1.85,710418301>0.3,-1.3633333333333333
IKK,-1.81,710418301>0.3,-1.5275
CK1,-1.71,710418301>0.3,-1.1341666666666668
GSK,-1.52,710418301>0.3,-0.2691666666666667
RIPK,-1.52,710418301>0.3,-1.1258333333333335
DMPK,1.51,710418301>0.3,1.5008333333333332
DYRK,1.46,710418301>0.3,1.3975
MELK,1.22,710418301>0.3,0.25249999999999995
ERK,1.19,710418301>0.3,1.2091666666666667
MAPKAPK,1.15,710418301>0.3,0.5891666666666666
PHK,1.1,710418301>0.3,0.2641666666666667
GRK,1.06,710418301>0.3,-0.41666666666666663
NMO,-1.06,710418301>0.3,-1.1833333333333333
STE7,1.05,710418301>0.3,-0.6966666666666667
P38,1.01,710418301>0.3,1.125
PDK1,0.98,710418301>0.3,1.4583333333333333
AKT,-0.93,710418301>0.3,-0.43833333333333335
MLCK,0.93,710418301>0.3,0.75
VRK1,0.91,710418301>0.3,0.6666666666666667
RAF,-0.85,710418301>0.3,-0.5308333333333334
AMPK,-0.83,710418301>0.3,-0.7691666666666667
PEK,-0.81,710418301>0.3,-0.15750000000000003
MARK,0.74,710418301>0.3,0.9908333333333333
DAPK,0.72,710418301>0.3,1.5108333333333333
MST,0.69,710418301>0.3,0.6125
COT,-0.68,710418301>0.3,-0.36333333333333334
NEK,-0.67,710418301>0.3,-0.33416666666666667
QIK,-0.67,710418301>0.3,-1.01
NDR,-0.66,710418301>0.3,-0.3566666666666667
ATM,-0.62,710418301>0.3,-0.69
PKCH,0.62,710418301>0.3,1.3383333333333334
JNK,0.62,710418301>0.3,0.7333333333333333
PKCA,0.61,710418301>0.3,0.20666666666666664
MSN,-0.61,710418301>0.3,-0.6941666666666667
PLK,-0.6,710418301>0.3,-0.7558333333333334
STKR,0.57,710418301>0.3,-0.15916666666666668
BARK2,-0.55,710418301>0.3,-0.6083333333333333
PAKB,-0.44,710418301>0.3,0.48416666666666663
TTK,-0.44,710418301>0.3,-0.49166666666666664
CK2,0.43,710418301>0.3,-0.26833333333333337
MLK,-0.42,710418301>0.3,-0.965
TLK,-0.42,710418301>0.3,-0.485
PKD,-0.42,710418301>0.3,-0.7058333333333333
NAK,-0.42,710418301>0.3,-0.48416666666666663
CAMK2,-0.42,710418301>0.3,-0.7875
HAL,-0.41,710418301>0.3,-0.49083333333333334
NUAK,-0.41,710418301>0.3,-0.48833333333333334
CDK,0.35,710418301>0.3,0.365
KHS,-0.32,710418301>0.3,-0.3466666666666667
PASK,-0.32,710418301>0.3,-0.34
BUD32,-0.31,710418301>0.3,-0.34833333333333333
MOS,-0.31,710418301>0.3,-0.34
ULK,-0.3,710418301>0.3,-0.3441666666666667
CLK,-0.3,710418301>0.3,-0.3383333333333333
SLK,-0.3,710418301>0.3,-0.3491666666666667
NIK,-0.3,710418301>0.3,-0.34
TAO,-0.29,710418301>0.3,-0.3466666666666667
WNK,-0.29,710418301>0.3,1.9858333333333333
CAMKK,-0.29,710418301>0.3,-0.3441666666666667
FRAY,0.26,710418301>0.3,-0.21833333333333335
IRAK,-0.21,710418301>0.3,0.28833333333333333
STE11,0.2,710418301>0.3,-0.19916666666666666
SGK,-0.2,710418301>0.3,-0.2833333333333333
PDHK,-0.18,710418301>0.3,-0.7558333333333334
CAMK1,0.16,710418301>0.3,0.07
PAKA,0.16,710418301>0.3,-0.08916666666666666
RAD53,0.14,710418301>0.3,0.4633333333333333
MTOR,-0.13,710418301>0.3,-0.6033333333333333
CHK1,-0.12,710418301>0.3,0.48333333333333334
ATR,-0.11,710418301>0.3,-0.6475000000000001
AUR,0.1,710418301>0.3,0.09833333333333334
LKB,0.1,710418301>0.3,-0.2933333333333333
PKCD,-0.08,710418301>0.3,-0.36
PKA,-0.07,710418301>0.3,0.16083333333333333
PKG,-0.06,710418301>0.3,0.07833333333333331
PIM,-0.04,710418301>0.3,-0.48499999999999993
PRKDC,0.04,710418301>0.3,-0.6916666666666667
PKCI,0.04,710418301>0.3,0.2358333333333333
BRSK,4.69,710418301>0.4,3.2475
DYRK,1.85,710418301>0.4,1.3975
CK1,-1.76,710418301>0.4,-1.1341666666666668
MELK,1.6,710418301>0.4,0.25249999999999995
VRK1,1.56,710418301>0.4,0.6666666666666667
PEK,-1.5,710418301>0.4,-0.15750000000000003
IKK,-1.46,710418301>0.4,-1.5275
MARK,1.32,710418301>0.4,0.9908333333333333
SGK,-1.32,710418301>0.4,-0.2833333333333333
QIK,-1.16,710418301>0.4,-1.01
PKG,-1.15,710418301>0.4,0.07833333333333331
GSK,-1.11,710418301>0.4,-0.2691666666666667
CAMK1,1.08,710418301>0.4,0.07
PLK,-1.03,710418301>0.4,-0.7558333333333334
PHK,1.01,710418301>0.4,0.2641666666666667
PKD,-0.95,710418301>0.4,-0.7058333333333333
IRAK,-0.88,710418301>0.4,0.28833333333333333
RSK,-0.86,710418301>0.4,-1.3633333333333333
PDHK,-0.86,710418301>0.4,-0.7558333333333334
DAPK,0.86,710418301>0.4,1.5108333333333333
AKT,-0.84,710418301>0.4,-0.43833333333333335
GRK,-0.83,710418301>0.4,-0.41666666666666663
ERK,0.82,710418301>0.4,1.2091666666666667
PKCI,-0.8,710418301>0.4,0.2358333333333333
PKA,-0.8,710418301>0.4,0.16083333333333333
DMPK,0.78,710418301>0.4,1.5008333333333332
NMO,-0.76,710418301>0.4,-1.1833333333333333
MST,0.75,710418301>0.4,0.6125
STE11,0.74,710418301>0.4,-0.19916666666666666
MTOR,0.74,710418301>0.4,-0.6033333333333333
RIPK,-0.72,710418301>0.4,-1.1258333333333335
CK2,-0.67,710418301>0.4,-0.26833333333333337
AUR,0.66,710418301>0.4,0.09833333333333334
PDK1,0.64,710418301>0.4,1.4583333333333333
LKB,0.63,710418301>0.4,-0.2933333333333333
STKR,-0.63,710418301>0.4,-0.15916666666666668
PAKA,-0.58,710418301>0.4,-0.08916666666666666
PRKDC,0.55,710418301>0.4,-0.6916666666666667
COT,-0.54,710418301>0.4,-0.36333333333333334
MLCK,-0.53,710418301>0.4,0.75
NDR,-0.52,710418301>0.4,-0.3566666666666667
ATR,0.5,710418301>0.4,-0.6475000000000001
CHK1,0.48,710418301>0.4,0.48333333333333334
MAPKAPK,0.48,710418301>0.4,0.5891666666666666
PKCD,0.47,710418301>0.4,-0.36
MSN,-0.45,710418301>0.4,-0.6941666666666667
ATM,-0.45,710418301>0.4,-0.69
BARK2,-0.41,710418301>0.4,-0.6083333333333333
