Kinase,UniprotID,Score
PRKACA,P17612,NA
PRKG1,Q13976,NA
PRKG2,Q13237,NA
CHUK,O15111,NA
RPS6KB2,Q9UBS0,NA
RPS6KA5,O75582,NA
PRKCA,P17252,NA
PRKX,P51817,NA
PRKCD,Q05655,NA
PSKH1,P11801,NA
PRKACB,P22694,NA
CAMK2A,Q9UQM7,NA
IKBKB,O14920,NA
STK38L,Q9Y2H1,NA
AKT3,Q9Y243,NA
CAMK4,Q16566,NA
PRKCE,Q02156,NA
CAMK2G,Q13555,NA
PIM1,P11309,NA
PRKD1,Q15139,NA
SGK2,Q9HBY8,NA
PRKCG,P05129,NA
PRKCB,P05771,NA
PIM2,Q9P1W9,NA
PRKY,O43930,NA
CAMK2D,Q13557,NA
AKT1,P31749,NA
RPS6KA4,O75676,NA
CDK15,Q96Q40,NA
CDK10,Q15131,NA
PRKCH,P24723,NA
MYLK3,Q32MK0,NA
PRKACG,P22612,NA
SGK1,O00141,NA
NEK8,Q86SG6,NA
PKN2,Q16513,NA
AKT2,P31751,NA
CAMK2B,Q13554,NA
MTOR,P42345,NA
MAPKAPK3,Q16644,NA
AURKB,Q96GD4,NA
CSNK1A1,P48729,NA
CDK14,O94921,NA
CSNK1D,P48730,NA
CSNK1E,P49674,NA
SGK3,Q96BR1,NA
MAP3K14,Q99558,NA
GSK3B,P49841,NA
IKBKE,Q14164,NA
PLK3,Q9H4B4,NA
PRKCQ,Q04759,NA
ARAF,P10398,NA
BRAF,P15056,NA
PIM3,Q86V86,NA
ROCK1,Q13464,NA
DCLK1,O15075,NA
PRKAA1,Q13131,NA
RPS6KA3,P51812,NA
ROCK2,O75116,NA
DAPK2,Q9UIK4,NA
NPR1,P16066,NA
TBK1,Q9UHD2,NA
MAPK11,Q15759,NA
PAK1,Q13153,NA
PRKDC,P78527,NA
RPS6KA2,Q15349,NA
RPS6KA1,Q15418,NA
CHEK2,O96017,NA
DAPK1,P53355,NA
PRKCI,P41743,NA
NPR2,P20594,NA
ATR,Q13535,NA
RPS6KA6,Q9UK32,NA
MAPKAPK2,P49137,NA
RPS6KB1,P23443,NA
RAF1,P04049,NA
CDKL2,Q92772,NA
PRKCZ,Q05513,NA
CSNK2A1,P68400,NA
RPS6KL1,Q9Y6S9,NA
DCLK2,Q8N568,NA
CDK11A,Q9UQ88,NA
CDK3,Q00526,NA
CDKL5,O76039,NA
CDK4,P11802,NA
CDK6,Q00534,NA
PRKAB1,Q9Y478,NA
AURKA,O14965,NA
CDKL1,Q00532,NA
MAK,P20794,NA
TEX14,Q8IWB6,NA
GSK3A,P49840,NA
CDK19,Q9BWU1,NA
CILK1,Q9UPZ9,NA
CDK17,Q00537,NA
CDK7,P50613,NA
COQ8A,Q8NI60,NA
DAPK3,O43293,NA
DCLK3,Q9C098,NA
PKN1,Q16512,NA
CDKL4,Q5MAI5,NA
CDK18,Q07002,NA
NUAK1,O60285,NA
MAPK15,Q8TD08,NA
CHEK1,O14757,NA
MAPK12,P53778,NA
MAPK7,Q13164,NA
CDK13,Q14004,NA
DYRK1A,Q13627,NA
MAPK13,O15264,NA
MAPK14,Q16539,NA
CDK9,P50750,NA
CDK1,P06493,NA
CDK2,P24941,NA
CDK5,Q00535,NA
MAPK1,P28482,NA
MAPK10,P53779,NA
MAPK3,P27361,NA
MAPK8,P45983,NA
MAPK9,P45984,NA
