Barcode,Peptide,LFC,totalMeanLFC,LFC_SD
710373507,ACM1_444_456,-0.6352941762713007,-0.6352941762713007,NA
710373507,ACM4_456_468,-0.5849625007211565,-0.5849625007211565,NA
710373507,ACM5_494_506,-0.69749516837603,-0.69749516837603,NA
710373507,ACM5_498_510,-0.5243557360170041,-0.5243557360170041,NA
710373507,ADDB_696_708,-0.5973996039593787,-0.5973996039593787,NA
710373507,ADDB_706_718,-0.6981096583491828,-0.6981096583491828,NA
710373507,ADRB2_338_350,-1.3795268960736395,-1.3795268960736395,NA
710373507,ANDR_785_797,-1.3161540075421296,-1.3161540075421296,NA
710373507,ANXA1_209_221,-1.8955625898070059,-1.8955625898070059,NA
710373507,BAD_112_124,-1.9211863264391438,-1.9211863264391438,NA
710373507,BAD_69_81,-0.390713893614135,-0.390713893614135,NA
710373507,BAD_93_105,-0.4937972321561217,-0.4937972321561217,NA
710373507,BCKD_45_57,-0.6167320812145505,-0.6167320812145505,NA
710373507,CA2D1_494_506,-0.6935729986528258,-0.6935729986528258,NA
710373507,CAC1C_1974_1986,-1.408337680454225,-1.408337680454225,NA
710373507,CD27_212_224,-0.728697978182606,-0.728697978182606,NA
710373507,CDK7_163_175,-0.079623075627266,-0.079623075627266,NA
710373507,CDN1A_139_151,-0.811352959222484,-0.811352959222484,NA
710373507,CENPA_1_14,-0.8877136244256318,-0.8877136244256318,NA
710373507,CFTR_730_742,-1.7070982771302115,-1.7070982771302115,NA
710373507,CGHB_109_121,-0.8064906217940537,-0.8064906217940537,NA
710373507,CREB1_126_138,-1.1126065717029459,-1.1126065717029459,NA
710373507,CSF1R_701_713,-1.4862521890676605,-1.4862521890676605,NA
710373507,DCX_49_61,-1.1092290697547578,-1.1092290697547578,NA
710373507,DESP_2842_2854,-1.9444448519103243,-1.9444448519103243,NA
710373507,E1A_ADE05_212_224,-0.9459356929225908,-0.9459356929225908,NA
710373507,EPB42_241_253,-1.918163042290291,-1.918163042290291,NA
710373507,ERBB2_679_691,-0.8438807980827185,-0.8438807980827185,NA
710373507,ERF_519_531,-0.06062635895150059,-0.06062635895150059,NA
710373507,ESR1_160_172,-0.8784098735128545,-0.8784098735128545,NA
710373507,FIBA_569_581,-0.5970353330217311,-0.5970353330217311,NA
710373507,FOXO3_25_37,-0.4832362017967622,-0.4832362017967622,NA
710373507,FRAP_2443_2455,-0.9720723946505601,-0.9720723946505601,NA
710373507,GBRB2_427_439,-1.2112601457581658,-1.2112601457581658,NA
710373507,GPR6_349_361,-0.8380472461473456,-0.8380472461473456,NA
710373507,GPSM2_394_406,-1.938624336466539,-1.938624336466539,NA
710373507,GRIK2_708_720,-1.1221800891658091,-1.1221800891658091,NA
710373507,GSUB_61_73,-0.33059768964642844,-0.33059768964642844,NA
710373507,GYS2_1_13,-0.37188909469157494,-0.37188909469157494,NA
710373507,H2B1B_ 27_40,-0.49346414623565993,-0.49346414623565993,NA
710373507,H32_3_18,-0.6626966792257218,-0.6626966792257218,NA
710373507,KAP2_92_104,-1.2334741784092111,-1.2334741784092111,NA
710373507,KAP3_107_119,-1.1290398445518726,-1.1290398445518726,NA
710373507,KAPCG_192_206,-0.516249750637142,-0.516249750637142,NA
710373507,KCC2G_278_289,-0.46093040292773324,-0.46093040292773324,NA
710373507,KCNA1_438_450,-1.6998172855258913,-1.6998172855258913,NA
710373507,KCNA2_442_454,-1.117405954392885,-1.117405954392885,NA
710373507,KCNA3_461_473,-0.8591374641601508,-0.8591374641601508,NA
710373507,KCNA6_504_516,-1.1510819866656554,-1.1510819866656554,NA
710373507,KIF2C_105_118_S106G,-0.911885505528911,-0.911885505528911,NA
710373507,KPB1_1011_1023,-1.7063803009848417,-1.7063803009848417,NA
710373507,KPCB_19_31_A25S,-0.6724253419714961,-0.6724253419714961,NA
710373507,KPCB_626_639,-0.3344190390705588,-0.3344190390705588,NA
710373507,KS6A1_374_386,-0.39949664838306553,-0.39949664838306553,NA
710373507,LIPS_944_956,-1.4846493035508352,-1.4846493035508352,NA
710373507,MARCS_152_164,-0.3523017439308811,-0.3523017439308811,NA
710373507,MARCS_160_172,-0.4584300947922242,-0.4584300947922242,NA
710373507,MBP_222_234,-0.32699746456575873,-0.32699746456575873,NA
710373507,MP2K1_287_299,-0.5425272344007595,-0.5425272344007595,NA
710373507,MPIP1_172_184,-0.29526014442528226,-0.29526014442528226,NA
710373507,MPIP3_208_220,-0.36978121814919396,-0.36978121814919396,NA
710373507,MYPC3_268_280,-1.1828822862307842,-1.1828822862307842,NA
710373507,NCF1_296_308,-1.214919451897753,-1.214919451897753,NA
710373507,NCF1_321_333,-1.3589790264341177,-1.3589790264341177,NA
710373507,NEK2_172_184,-0.3789335255935957,-0.3789335255935957,NA
710373507,NFKB1_330_342,-1.3839614914714984,-1.3839614914714984,NA
710373507,NMDZ1_890_902,-1.492472188763335,-1.492472188763335,NA
710373507,NOS3_1171_1183,-1.0667193791609115,-1.0667193791609115,NA
710373507,NR4A1_344_356,-0.6021036335425496,-0.6021036335425496,NA
710373507,P53_12_24,-0.0769619818148839,-0.0769619818148839,NA
710373507,P53_308_323,-0.1375035237499347,-0.1375035237499347,NA
710373507,PLEK_106_118,-0.7055846466602178,-0.7055846466602178,NA
710373507,PLM_76_88,-2.4152222588412267,-2.4152222588412267,NA
710373507,PPR1A_28_40,-0.900722357577604,-0.900722357577604,NA
710373507,PRKDC_2618_2630,-0.21436628079753017,-0.21436628079753017,NA
710373507,PTK6_436_448,-1.4465406915485888,-1.4465406915485888,NA
710373507,PTN12_32_44,-1.2991182119792768,-1.2991182119792768,NA
710373507,RAF1_253_265,-0.3850985671581575,-0.3850985671581575,NA
710373507,RAP1B_172_184,-0.8465118883683616,-0.8465118883683616,NA
710373507,RBL2_655_667,-0.8322360908015711,-0.8322360908015711,NA
710373507,RB_242_254,-0.34383054878642394,-0.34383054878642394,NA
710373507,RB_803_815,-0.5074837480434393,-0.5074837480434393,NA
710373507,REL_260_272,-1.6188451856325914,-1.6188451856325914,NA
710373507,RS6_228_240,-1.3240071253338472,-1.3240071253338472,NA
710373507,RYR1_4317_4329,-1.313164586383646,-1.313164586383646,NA
710373507,SCN7A_898_910,-1.5675576287614792,-1.5675576287614792,NA
710373507,STK6_283_295,-1.0254872906744144,-1.0254872906744144,NA
710373507,STMN2_90_102,-1.0274939953291042,-1.0274939953291042,NA
710373507,TOP2A_1463_1475,-1.0828466943426829,-1.0828466943426829,NA
710373507,TY3H_65_77,-1.3887272710119394,-1.3887272710119394,NA
710373507,VASP_150_162,-1.9681384915591904,-1.9681384915591904,NA
710373507,VASP_271_283,-1.0935059852454625,-1.0935059852454625,NA
710373507,VTNC_390_402,-1.3298209533000875,-1.3298209533000875,NA
