Kinase,Z,method,AvgZ
PKCH,2.75,710418301>0.15,2.361666666666667
DMPK,2.68,710418301>0.15,2.3358333333333334
PAKB,2.54,710418301>0.15,2.63
MST,2.17,710418301>0.15,2.0541666666666667
CK1,-2.04,710418301>0.15,-1.4224999999999999
NMO,-1.92,710418301>0.15,-1.7491666666666668
WNK,1.86,710418301>0.15,1.9741666666666666
BRSK,1.84,710418301>0.15,1.9583333333333333
MELK,1.74,710418301>0.15,2.1108333333333333
MAPKAPK,1.46,710418301>0.15,1.385
DYRK,1.38,710418301>0.15,1.5316666666666667
MLK,-1.37,710418301>0.15,-1.3158333333333334
PDK1,1.32,710418301>0.15,1.4925
RIPK,-1.3,710418301>0.15,-1.315
STE7,-1.21,710418301>0.15,-1.11
PLK,-1.18,710418301>0.15,-1.0775
ATM,-1.13,710418301>0.15,-1.025
PAKA,1.1,710418301>0.15,0.4941666666666667
MSN,-1.08,710418301>0.15,-1.0208333333333335
RAD53,1.06,710418301>0.15,0.9066666666666666
IKK,-1.05,710418301>0.15,-0.9283333333333333
PHK,0.97,710418301>0.15,0.9833333333333333
BARK2,-0.94,710418301>0.15,-0.885
SGK,0.94,710418301>0.15,1.3491666666666666
ERK,0.91,710418301>0.15,1.155
PKN,0.9,710418301>0.15,0.12999999999999998
PKD,-0.88,710418301>0.15,-1.0516666666666667
VRK1,0.87,710418301>0.15,0.6066666666666667
HAL,-0.81,710418301>0.15,-0.7208333333333333
AKT,0.8,710418301>0.15,0.5991666666666666
NAK,-0.8,710418301>0.15,-0.7183333333333334
TTK,-0.79,710418301>0.15,-0.7133333333333334
TLK,-0.78,710418301>0.15,-0.7175
NUAK,-0.77,710418301>0.15,-0.7233333333333334
CK2,-0.73,710418301>0.15,-0.5741666666666667
PEK,-0.71,710418301>0.15,-0.3175
DAPK,0.7,710418301>0.15,0.5933333333333333
RAF,0.7,710418301>0.15,1.1025
CHK1,0.66,710418301>0.15,0.8300000000000001
RSK,-0.61,710418301>0.15,-0.21500000000000002
NEK,0.6,710418301>0.15,0.7033333333333334
PRKDC,-0.58,710418301>0.15,-0.6025
PDHK,-0.58,710418301>0.15,-0.6433333333333333
NIK,-0.57,710418301>0.15,-0.5133333333333333
BUD32,-0.57,710418301>0.15,-0.505
PIM,0.57,710418301>0.15,0.6433333333333333
CLK,-0.56,710418301>0.15,-0.51
ULK,-0.56,710418301>0.15,-0.51
STKR,-0.56,710418301>0.15,-0.4058333333333333
GRK,-0.56,710418301>0.15,-0.33666666666666667
CAMKK,-0.56,710418301>0.15,-0.5091666666666667
MARK,0.56,710418301>0.15,0.7058333333333333
KHS,-0.55,710418301>0.15,-0.5141666666666667
TAO,-0.55,710418301>0.15,-0.5108333333333334
PASK,-0.54,710418301>0.15,-0.49416666666666664
SLK,-0.54,710418301>0.15,-0.5041666666666667
CAMK1,-0.54,710418301>0.15,-0.2791666666666667
MOS,-0.53,710418301>0.15,-0.5033333333333333
GSK,-0.5,710418301>0.15,-0.01999999999999998
PKCI,0.38,710418301>0.15,0.18166666666666667
PKA,0.37,710418301>0.15,0.11666666666666667
P38,0.34,710418301>0.15,0.5741666666666667
PKG,0.34,710418301>0.15,-0.05333333333333333
AMPK,-0.33,710418301>0.15,-0.8058333333333333
AUR,0.31,710418301>0.15,-0.14416666666666667
STE11,-0.31,710418301>0.15,-0.17
LKB,0.3,710418301>0.15,0.47
QIK,-0.27,710418301>0.15,0.2175
FRAY,0.22,710418301>0.15,0.5125
IRAK,-0.2,710418301>0.15,0.5658333333333333
MLCK,-0.2,710418301>0.15,0.7541666666666667
PKCA,-0.2,710418301>0.15,0.4091666666666667
NDR,-0.19,710418301>0.15,-0.12083333333333332
CDK,-0.18,710418301>0.15,0.20666666666666667
COT,-0.17,710418301>0.15,-0.12416666666666668
JNK,-0.09,710418301>0.15,0.04250000000000002
MTOR,0.05,710418301>0.15,0.28500000000000003
ATR,-0.03,710418301>0.15,-0.5433333333333333
PKCD,-0.03,710418301>0.15,-0.185
CAMK2,0.02,710418301>0.15,0.155
PKCH,2.75,710418301>0.2,2.361666666666667
DMPK,2.68,710418301>0.2,2.3358333333333334
PAKB,2.54,710418301>0.2,2.63
MST,2.17,710418301>0.2,2.0541666666666667
CK1,-2.04,710418301>0.2,-1.4224999999999999
NMO,-1.92,710418301>0.2,-1.7491666666666668
WNK,1.86,710418301>0.2,1.9741666666666666
BRSK,1.84,710418301>0.2,1.9583333333333333
MELK,1.74,710418301>0.2,2.1108333333333333
MAPKAPK,1.46,710418301>0.2,1.385
DYRK,1.38,710418301>0.2,1.5316666666666667
MLK,-1.37,710418301>0.2,-1.3158333333333334
PDK1,1.32,710418301>0.2,1.4925
RIPK,-1.3,710418301>0.2,-1.315
STE7,-1.21,710418301>0.2,-1.11
PLK,-1.18,710418301>0.2,-1.0775
ATM,-1.13,710418301>0.2,-1.025
PAKA,1.1,710418301>0.2,0.4941666666666667
MSN,-1.08,710418301>0.2,-1.0208333333333335
RAD53,1.06,710418301>0.2,0.9066666666666666
IKK,-1.05,710418301>0.2,-0.9283333333333333
PHK,0.97,710418301>0.2,0.9833333333333333
BARK2,-0.94,710418301>0.2,-0.885
SGK,0.94,710418301>0.2,1.3491666666666666
ERK,0.91,710418301>0.2,1.155
PKN,0.9,710418301>0.2,0.12999999999999998
PKD,-0.88,710418301>0.2,-1.0516666666666667
VRK1,0.87,710418301>0.2,0.6066666666666667
HAL,-0.81,710418301>0.2,-0.7208333333333333
AKT,0.8,710418301>0.2,0.5991666666666666
NAK,-0.8,710418301>0.2,-0.7183333333333334
TTK,-0.79,710418301>0.2,-0.7133333333333334
TLK,-0.78,710418301>0.2,-0.7175
NUAK,-0.77,710418301>0.2,-0.7233333333333334
CK2,-0.73,710418301>0.2,-0.5741666666666667
PEK,-0.71,710418301>0.2,-0.3175
DAPK,0.7,710418301>0.2,0.5933333333333333
RAF,0.7,710418301>0.2,1.1025
CHK1,0.66,710418301>0.2,0.8300000000000001
RSK,-0.61,710418301>0.2,-0.21500000000000002
NEK,0.6,710418301>0.2,0.7033333333333334
PRKDC,-0.58,710418301>0.2,-0.6025
PDHK,-0.58,710418301>0.2,-0.6433333333333333
NIK,-0.57,710418301>0.2,-0.5133333333333333
BUD32,-0.57,710418301>0.2,-0.505
PIM,0.57,710418301>0.2,0.6433333333333333
CLK,-0.56,710418301>0.2,-0.51
ULK,-0.56,710418301>0.2,-0.51
STKR,-0.56,710418301>0.2,-0.4058333333333333
GRK,-0.56,710418301>0.2,-0.33666666666666667
CAMKK,-0.56,710418301>0.2,-0.5091666666666667
