Kinase,Z,method,AvgZ
PKA,4.14,710373505>0.15,3.9899999999999998
RSK,3.83,710373505>0.15,3.2575000000000003
PKG,3.68,710373505>0.15,3.59
DYRK,-3.61,710373505>0.15,-3.5875
ERK,-3.52,710373505>0.15,-3.1275
JNK,-2.92,710373505>0.15,-3.0675
CAMK1,2.83,710373505>0.15,2.5875
PDK1,-2.82,710373505>0.15,-2.5275
PIM,2.78,710373505>0.15,2.5325
RAD53,2.77,710373505>0.15,2.7025
P38,-2.66,710373505>0.15,-2.3025
PKCD,2.53,710373505>0.15,1.345
DMPK,2.39,710373505>0.15,2.035
NMO,-2.39,710373505>0.15,-2.0575
PDHK,2.17,710373505>0.15,1.5525
RIPK,2.15,710373505>0.15,1.9425
PKCI,2.12,710373505>0.15,1.94
CHK1,1.91,710373505>0.15,1.365
PAKA,1.85,710373505>0.15,2.2725
PKD,1.64,710373505>0.15,1.8649999999999998
AMPK,1.63,710373505>0.15,1.63
HAL,1.59,710373505>0.15,0.9675
RAF,-1.58,710373505>0.15,-1.0125
PHK,1.48,710373505>0.15,0.5
CAMK2,1.42,710373505>0.15,0.415
PLK,-1.4,710373505>0.15,-1.0425
AUR,1.39,710373505>0.15,0.635
IKK,1.31,710373505>0.15,0.685
PKCA,1.3,710373505>0.15,1.2975
MAPKAPK,1.3,710373505>0.15,0.805
PKN,-1.29,710373505>0.15,-0.935
PAKB,-1.26,710373505>0.15,-0.9275
MARK,1.22,710373505>0.15,1.1775
MTOR,-1.21,710373505>0.15,-1.425
TLK,-1.21,710373505>0.15,-0.9125
NAK,-1.21,710373505>0.15,-0.9125
PASK,1.2,710373505>0.15,0.41000000000000003
MELK,1.17,710373505>0.15,0.29000000000000004
BRSK,1.16,710373505>0.15,0.9875
BUD32,1.14,710373505>0.15,-0.135
KHS,1.11,710373505>0.15,-0.16
VRK1,-1.06,710373505>0.15,-1.255
COT,-1,710373505>0.15,-0.9775
AKT,0.98,710373505>0.15,0.47250000000000003
NIK,-0.89,710373505>0.15,-0.6425
CLK,-0.89,710373505>0.15,-0.655
WNK,-0.88,710373505>0.15,-0.65
MOS,-0.86,710373505>0.15,-0.64
TAO,-0.86,710373505>0.15,-0.65
ULK,-0.86,710373505>0.15,-0.6425
SLK,-0.86,710373505>0.15,-0.6475
CAMKK,-0.85,710373505>0.15,-0.6375
STE11,-0.84,710373505>0.15,-0.6475
NDR,0.81,710373505>0.15,1.1175
STKR,-0.8,710373505>0.15,-0.46
MLCK,0.79,710373505>0.15,0.5175
DAPK,0.78,710373505>0.15,0.2325
STE7,-0.78,710373505>0.15,-0.2225
SGK,0.75,710373505>0.15,0.24749999999999994
MSN,-0.74,710373505>0.15,-0.48750000000000004
PEK,0.73,710373505>0.15,0.3075
IRAK,-0.58,710373505>0.15,0.18000000000000005
PKCH,0.57,710373505>0.15,-1.2375
NEK,-0.54,710373505>0.15,-0.3175
LKB,-0.51,710373505>0.15,-1.0474999999999999
GSK,-0.51,710373505>0.15,-0.7525
CDK,-0.47,710373505>0.15,-0.7324999999999999
QIK,0.42,710373505>0.15,-0.17000000000000004
MST,-0.33,710373505>0.15,-1.6125
BARK2,-0.33,710373505>0.15,-0.525
ATR,-0.32,710373505>0.15,0.017499999999999988
CK1,-0.29,710373505>0.15,0.05750000000000002
ATM,0.29,710373505>0.15,-0.5125000000000001
CK2,-0.29,710373505>0.15,0.3825
TTK,0.22,710373505>0.15,-0.545
NUAK,0.2,710373505>0.15,-0.56
FRAY,0.14,710373505>0.15,-0.645
MLK,0.11,710373505>0.15,-0.044999999999999984
PRKDC,-0.11,710373505>0.15,-0.3375
GRK,-0.09,710373505>0.15,0.555
PKA,4.51,710373505>0.2,3.9899999999999998
DYRK,-4.04,710373505>0.2,-3.5875
ERK,-3.68,710373505>0.2,-3.1275
PKG,3.56,710373505>0.2,3.59
RSK,3.51,710373505>0.2,3.2575000000000003
RAD53,3.18,710373505>0.2,2.7025
JNK,-3.12,710373505>0.2,-3.0675
PIM,3.12,710373505>0.2,2.5325
PDK1,-3.04,710373505>0.2,-2.5275
CAMK1,2.93,710373505>0.2,2.5875
P38,-2.76,710373505>0.2,-2.3025
RIPK,2.46,710373505>0.2,1.9425
NMO,-2.42,710373505>0.2,-2.0575
DMPK,2.36,710373505>0.2,2.035
PAKA,2.34,710373505>0.2,2.2725
PKCD,2.2,710373505>0.2,1.345
MST,-2.19,710373505>0.2,-1.6125
PKCI,2.07,710373505>0.2,1.94
PKD,2.05,710373505>0.2,1.8649999999999998
HAL,1.95,710373505>0.2,0.9675
LKB,-1.83,710373505>0.2,-1.0474999999999999
PDHK,1.81,710373505>0.2,1.5525
AMPK,1.79,710373505>0.2,1.63
VRK1,-1.69,710373505>0.2,-1.255
MTOR,-1.64,710373505>0.2,-1.425
CHK1,1.58,710373505>0.2,1.365
IKK,1.51,710373505>0.2,0.685
AUR,1.5,710373505>0.2,0.635
PKCA,1.46,710373505>0.2,1.2975
BRSK,1.43,710373505>0.2,0.9875
