Kinase,Z,method,AvgZ
DMPK,3.09,710418301>0.15,1.7366666666666666
BRSK,1.99,710418301>0.15,2.643333333333333
MAPKAPK,1.96,710418301>0.15,1.5141666666666667
PDHK,-1.89,710418301>0.15,-0.6033333333333334
DYRK,1.84,710418301>0.15,1.6141666666666667
MELK,1.83,710418301>0.15,1.5516666666666667
NMO,-1.72,710418301>0.15,-1.345
MLK,-1.58,710418301>0.15,-0.7208333333333333
PLK,-1.41,710418301>0.15,-1.4708333333333332
RAF,1.28,710418301>0.15,0.5175
RIPK,-1.27,710418301>0.15,-0.8358333333333333
PHK,1.24,710418301>0.15,0.6883333333333334
CAMK1,-1.21,710418301>0.15,-0.1758333333333334
MLCK,1.17,710418301>0.15,0.30333333333333334
PKD,-1.15,710418301>0.15,-0.6633333333333333
PKCH,1.14,710418301>0.15,1.4725
MST,1.14,710418301>0.15,0.97
VRK1,1.13,710418301>0.15,0.7525000000000001
COT,-1.1,710418301>0.15,-0.44000000000000006
IKK,-1.09,710418301>0.15,-0.8583333333333334
PDK1,1.09,710418301>0.15,1.1316666666666666
PAKB,1.05,710418301>0.15,1.4766666666666668
CK1,-1.05,710418301>0.15,-1.2275
SGK,1.04,710418301>0.15,0.5900000000000001
PEK,-1.01,710418301>0.15,-0.1283333333333334
MSN,-1.01,710418301>0.15,-0.7883333333333333
ATM,-1.01,710418301>0.15,-0.7858333333333334
ERK,0.99,710418301>0.15,1.7566666666666666
AMPK,-0.98,710418301>0.15,-0.9375
STE7,-0.93,710418301>0.15,-0.39333333333333337
BARK2,-0.88,710418301>0.15,-0.6791666666666667
MARK,0.88,710418301>0.15,0.81
IRAK,0.86,710418301>0.15,0.9575
STE11,-0.81,710418301>0.15,0.2958333333333333
PIM,0.79,710418301>0.15,0.48000000000000004
TLK,-0.71,710418301>0.15,-0.5508333333333333
PKN,-0.71,710418301>0.15,0.31166666666666665
NUAK,-0.71,710418301>0.15,-0.5608333333333333
AUR,0.7,710418301>0.15,-0.07083333333333332
HAL,-0.7,710418301>0.15,-0.5466666666666666
NAK,-0.7,710418301>0.15,-0.5475
TTK,-0.69,710418301>0.15,-0.5566666666666666
DAPK,0.67,710418301>0.15,0.3058333333333333
RSK,-0.6,710418301>0.15,-1.2416666666666667
FRAY,-0.6,710418301>0.15,-0.13166666666666665
CK2,-0.54,710418301>0.15,-0.1575
WNK,-0.52,710418301>0.15,0.32333333333333336
GSK,0.51,710418301>0.15,-0.25166666666666665
CAMKK,-0.51,710418301>0.15,-0.3925
ULK,-0.51,710418301>0.15,-0.3908333333333333
CLK,-0.5,710418301>0.15,-0.38166666666666665
SLK,-0.5,710418301>0.15,-0.3925
TAO,-0.5,710418301>0.15,-0.3933333333333333
MOS,-0.5,710418301>0.15,-0.3875
AKT,0.5,710418301>0.15,-0.42583333333333334
NIK,-0.49,710418301>0.15,-0.38583333333333336
BUD32,-0.49,710418301>0.15,-0.39666666666666667
PASK,-0.48,710418301>0.15,-0.38583333333333336
KHS,-0.48,710418301>0.15,-0.3875
ATR,-0.4,710418301>0.15,-0.3175
QIK,0.39,710418301>0.15,0.2025
STKR,-0.37,710418301>0.15,0.6691666666666667
PKCD,0.33,710418301>0.15,-0.4408333333333333
CHK1,0.3,710418301>0.15,0.6466666666666666
P38,0.3,710418301>0.15,0.9550000000000001
PRKDC,-0.29,710418301>0.15,-0.3516666666666666
PAKA,-0.28,710418301>0.15,-0.025833333333333337
GRK,-0.28,710418301>0.15,0.2175
CAMK2,-0.26,710418301>0.15,0.47833333333333333
RAD53,0.26,710418301>0.15,0.6383333333333333
PKG,-0.2,710418301>0.15,-0.235
JNK,0.2,710418301>0.15,0.16249999999999998
PKCI,-0.18,710418301>0.15,0.29
LKB,-0.09,710418301>0.15,1.4408333333333334
NEK,-0.08,710418301>0.15,0.135
CDK,0.08,710418301>0.15,0.08666666666666671
PKCA,-0.03,710418301>0.15,0.07166666666666668
MTOR,0.03,710418301>0.15,0.3833333333333333
PKA,0.03,710418301>0.15,-0.52
NDR,0.01,710418301>0.15,-0.3441666666666666
DMPK,2.9,710418301>0.2,1.7366666666666666
BRSK,2.31,710418301>0.2,2.643333333333333
MELK,2.06,710418301>0.2,1.5516666666666667
MAPKAPK,1.81,710418301>0.2,1.5141666666666667
CAMK1,-1.74,710418301>0.2,-0.1758333333333334
NMO,-1.67,710418301>0.2,-1.345
PDHK,-1.55,710418301>0.2,-0.6033333333333334
MLK,-1.49,710418301>0.2,-0.7208333333333333
RIPK,-1.44,710418301>0.2,-0.8358333333333333
AMPK,-1.42,710418301>0.2,-0.9375
PKCH,1.4,710418301>0.2,1.4725
MST,1.34,710418301>0.2,0.97
DYRK,1.34,710418301>0.2,1.6141666666666667
CK1,-1.27,710418301>0.2,-1.2275
VRK1,1.24,710418301>0.2,0.7525000000000001
PAKB,1.14,710418301>0.2,1.4766666666666668
PLK,-1.13,710418301>0.2,-1.4708333333333332
COT,-1.09,710418301>0.2,-0.44000000000000006
NDR,-1.08,710418301>0.2,-0.3441666666666666
ATM,-1,710418301>0.2,-0.7858333333333334
RSK,-0.98,710418301>0.2,-1.2416666666666667
PHK,0.98,710418301>0.2,0.6883333333333334
MSN,-0.93,710418301>0.2,-0.7883333333333333
RAF,0.93,710418301>0.2,0.5175
PKD,-0.9,710418301>0.2,-0.6633333333333333
PEK,-0.9,710418301>0.2,-0.1283333333333334
PIM,0.81,710418301>0.2,0.48000000000000004
BARK2,-0.8,710418301>0.2,-0.6791666666666667
AUR,0.79,710418301>0.2,-0.07083333333333332
IKK,-0.76,710418301>0.2,-0.8583333333333334
NUAK,-0.7,710418301>0.2,-0.5608333333333333
STE11,-0.68,710418301>0.2,0.2958333333333333
HAL,-0.68,710418301>0.2,-0.5466666666666666
TTK,-0.68,710418301>0.2,-0.5566666666666666
PKN,-0.67,710418301>0.2,0.31166666666666665
SGK,0.67,710418301>0.2,0.5900000000000001
TLK,-0.66,710418301>0.2,-0.5508333333333333
NAK,-0.66,710418301>0.2,-0.5475
STE7,-0.64,710418301>0.2,-0.39333333333333337
PDK1,0.57,710418301>0.2,1.1316666666666666
PAKA,-0.52,710418301>0.2,-0.025833333333333337
ERK,0.49,710418301>0.2,1.7566666666666666
MOS,-0.49,710418301>0.2,-0.3875
TAO,-0.49,710418301>0.2,-0.3933333333333333
WNK,-0.48,710418301>0.2,0.32333333333333336
KHS,-0.48,710418301>0.2,-0.3875
NIK,-0.48,710418301>0.2,-0.38583333333333336
BUD32,-0.48,710418301>0.2,-0.39666666666666667
PASK,-0.47,710418301>0.2,-0.38583333333333336
PKCD,0.47,710418301>0.2,-0.4408333333333333
CLK,-0.47,710418301>0.2,-0.38166666666666665
ULK,-0.46,710418301>0.2,-0.3908333333333333
SLK,-0.46,710418301>0.2,-0.3925
CHK1,0.46,710418301>0.2,0.6466666666666666
CAMKK,-0.46,710418301>0.2,-0.3925
CK2,-0.44,710418301>0.2,-0.1575
RAD53,0.44,710418301>0.2,0.6383333333333333
JNK,-0.39,710418301>0.2,0.16249999999999998
QIK,0.39,710418301>0.2,0.2025
FRAY,-0.39,710418301>0.2,-0.13166666666666665
AKT,0.33,710418301>0.2,-0.42583333333333334
