Kinase,Z,method,AvgZ
DYRK,-4.61,710373507>0.15,-4.605
PKA,4.31,710373507>0.15,4.2075
JNK,-4.05,710373507>0.15,-3.9299999999999997
ERK,-3.9,710373507>0.15,-4.0024999999999995
NMO,-3.84,710373507>0.15,-3.6174999999999997
DMPK,3.53,710373507>0.15,3.56
PAKA,3.46,710373507>0.15,3.465
P38,-3.45,710373507>0.15,-3.6
RSK,3.38,710373507>0.15,3.51
PKG,3.24,710373507>0.15,3.2325
PIM,3.1,710373507>0.15,3.2800000000000002
RAD53,2.98,710373507>0.15,2.7075
PLK,-2.92,710373507>0.15,-2.825
CDK,-2.82,710373507>0.15,-2.5949999999999998
AKT,2.72,710373507>0.15,2.7475
LKB,-2.62,710373507>0.15,-2.5075000000000003
STE7,-2.6,710373507>0.15,-2.5300000000000002
PDK1,-2.38,710373507>0.15,-2.525
PKCA,2.31,710373507>0.15,2.39
STE11,-2.3,710373507>0.15,-2.2275
PKD,2.16,710373507>0.15,2.4025
PKCH,2.14,710373507>0.15,2.06
PHK,2.1,710373507>0.15,2.04
SGK,2.07,710373507>0.15,1.79
PKCI,2,710373507>0.15,1.84
STKR,-1.96,710373507>0.15,-1.8074999999999999
NAK,-1.94,710373507>0.15,-1.795
TLK,-1.9,710373507>0.15,-1.78
NUAK,-1.89,710373507>0.15,-1.755
MAPKAPK,1.82,710373507>0.15,1.7349999999999999
TTK,-1.82,710373507>0.15,-1.7675
PDHK,1.79,710373507>0.15,1.8775
AMPK,1.77,710373507>0.15,1.93
MST,-1.76,710373507>0.15,-1.5325
PKCD,1.66,710373507>0.15,1.8525
PRKDC,-1.66,710373507>0.15,-2.025
IRAK,-1.62,710373507>0.15,-1.54
ATM,-1.61,710373507>0.15,-1.475
GRK,-1.58,710373507>0.15,-1.3825
CK2,-1.54,710373507>0.15,-1.3775
CK1,-1.47,710373507>0.15,-1.225
MELK,1.47,710373507>0.15,1.2225
AUR,1.38,710373507>0.15,1.5174999999999998
BUD32,-1.37,710373507>0.15,-1.2675
SLK,-1.36,710373507>0.15,-1.2475
CLK,-1.34,710373507>0.15,-1.25
CAMK1,1.34,710373507>0.15,1.2325
ULK,-1.32,710373507>0.15,-1.2325
