Barcode,Peptide,LFC,totalMeanLFC,LFC_SD
710418301F,ACM1_444_456,0.1835034079428537,-0.01372150104892882,0.4268980134884446
710418301F,ACM5_494_506,-0.12042304002473792,-0.2612694050609763,0.31430132235542707
710418301F,ADDB_696_708,-0.28266321258272686,-0.19209853036775676,0.21619896189760204
710418301F,ADDB_706_718,-0.09234017214671031,0.09485950272297528,0.13119050646474964
710418301F,BAD_69_81,-0.6771396304172628,0.018301113449304022,0.38434182926950383
710418301F,BAD_93_105,-0.8287022172013083,-0.09956271670302863,0.5625755280629922
710418301F,BCKD_45_57,-0.49146678087927675,-0.13249792466896376,0.2370532355814343
710418301F,C1R_201_213,-0.44853441126693117,-0.0758813883812349,0.5312047923587769
710418301F,CENPA_1_14,-0.24686756469667515,0.17501347070044232,0.26697785079106645
710418301F,ERBB2_679_691,-0.420738536827713,-0.010751445485458255,0.2327734673616823
710418301F,ERF_519_531,-0.6004227889428959,0.15647023907447694,0.45360559407927264
710418301F,GPR6_349_361,-0.28646248204177027,0.04222156517990072,0.31292010295733447
710418301F,GSUB_61_73,-0.5626441212975619,-0.1156036976206094,0.6095614962384022
710418301F,GYS2_1_13,-0.3501912465729795,0.10084027075869914,0.405389523086524
710418301F,H2B1B_ 27_40,-0.14248951283938283,0.09703056048584813,0.2750057915926538
710418301F,H32_3_18,-0.6230671057466575,-0.21619117929046744,0.3262702084003104
710418301F,KAPCG_192_206,-0.36988131811028957,0.0925770059978411,0.27902286909365565
710418301F,KIF2C_105_118_S106G,-0.4597446253300994,-0.12734229422333154,0.18754022276121185
710418301F,KPCB_19_31_A25S,-0.5119420284546798,0.1201543830039995,0.3484195629142653
710418301F,LMNA_192_204,-0.8293296123148659,-0.31474078092015045,0.4911338842532247
710418301F,MARCS_152_164,-0.12207659633167633,9.317181773453124e-4,0.5168784072968455
710418301F,MP2K1_287_299,0.21646094392880322,0.18551708478214768,0.6532681780564422
710418301F,MPIP1_172_184,1.749191896499466,0.6357799303960529,0.8155234106799317
710418301F,MPIP3_208_220,0.6743295034268213,0.43214738029255695,0.8691957137731076
710418301F,NEK2_172_184,0.004035513235157051,-0.31832175869256474,0.6368468662593019
710418301F,NEK3_158_170,-0.9946862001035326,-0.34985078521873236,0.5451160094049833
710418301F,NR4A1_344_356,0.23198596957456363,-0.15781902960587374,0.5066655819490876
710418301F,PDE5A_95_107,-0.4584261573863557,0.12890597193224657,0.46679983847339523
710418301F,PLEK_106_118,-0.25172642893054054,0.1205502662540058,0.2419841652476843
710418301F,PPR1A_28_40,-0.23890604433856488,0.12050520642462578,0.23464135771347616
710418301F,RAF1_253_265,-0.1606641142834908,0.19641959888830574,0.34376118330332506
710418301F,RAP1B_172_184,-0.2065221169763234,0.1630641223496892,0.23266793058973606
710418301F,RBL2_655_667,-0.529702068087821,-0.1838280889485417,0.25048878107895695
710418301F,VASP_271_283,-0.08458436673543979,0.12711994958573106,0.1328273722090087
710418301M,ACM1_444_456,0.264227208746628,-0.01372150104892882,0.4268980134884446
710418301M,ACM5_494_506,-0.13518445068846585,-0.2612694050609763,0.31430132235542707
710418301M,ADDB_696_708,-0.11490604154673267,-0.19209853036775676,0.21619896189760204
710418301M,ADDB_706_718,0.2750853151766375,0.09485950272297528,0.13119050646474964
710418301M,BAD_69_81,0.18306610113037802,0.018301113449304022,0.38434182926950383
710418301M,BAD_93_105,-0.14032617896368116,-0.09956271670302863,0.5625755280629922
710418301M,BCKD_45_57,-0.31242780123322156,-0.13249792466896376,0.2370532355814343
710418301M,C1R_201_213,-0.35569514126165647,-0.0758813883812349,0.5312047923587769
710418301M,CENPA_1_14,0.10887913455457898,0.17501347070044232,0.26697785079106645
710418301M,ERBB2_679_691,0.054438917629967776,-0.010751445485458255,0.2327734673616823
710418301M,ERF_519_531,-0.08380308212666598,0.15647023907447694,0.45360559407927264
710418301M,GPR6_349_361,-0.18591406569345637,0.04222156517990072,0.31292010295733447
710418301M,GSUB_61_73,-0.81551754857768,-0.1156036976206094,0.6095614962384022
710418301M,GYS2_1_13,-0.2509195244943285,0.10084027075869914,0.405389523086524
710418301M,H2B1B_ 27_40,-0.21344905557150717,0.09703056048584813,0.2750057915926538
710418301M,H32_3_18,-0.5466802664942971,-0.21619117929046744,0.3262702084003104
710418301M,KAPCG_192_206,0.03788994248537758,0.0925770059978411,0.27902286909365565
710418301M,KIF2C_105_118_S106G,0.02682739611671714,-0.12734229422333154,0.18754022276121185
710418301M,KPCB_19_31_A25S,0.3162003486542915,0.1201543830039995,0.3484195629142653
710418301M,LMNA_192_204,-0.8432475896471061,-0.31474078092015045,0.4911338842532247
710418301M,MARCS_152_164,-0.3091040545297785,9.317181773453124e-4,0.5168784072968455
710418301M,MP2K1_287_299,-1.0904046617987864,0.18551708478214768,0.6532681780564422
710418301M,MPIP1_172_184,-0.029915577904287005,0.6357799303960529,0.8155234106799317
710418301M,MPIP3_208_220,-0.7224660244710908,0.43214738029255695,0.8691957137731076
710418301M,NEK2_172_184,-0.40950235119761214,-0.31832175869256474,0.6368468662593019
710418301M,NEK3_158_170,-0.08873337857674457,-0.34985078521873236,0.5451160094049833
710418301M,NR4A1_344_356,-1.0654024752216396,-0.15781902960587374,0.5066655819490876
710418301M,PDE5A_95_107,-0.3803988127719222,0.12890597193224657,0.46679983847339523
710418301M,PLEK_106_118,0.1428792071006324,0.1205502662540058,0.2419841652476843
710418301M,PPR1A_28_40,0.15468491572373821,0.12050520642462578,0.23464135771347616
710418301M,RAF1_253_265,-0.09209561198054139,0.19641959888830574,0.34376118330332506
710418301M,RAP1B_172_184,0.04259497527632483,0.1630641223496892,0.23266793058973606
710418301M,RBL2_655_667,-0.17402208088959803,-0.1838280889485417,0.25048878107895695
710418301M,VASP_271_283,0.07443197839482885,0.12711994958573106,0.1328273722090087
710418302F,ACM1_444_456,-0.22896047173926481,-0.01372150104892882,0.4268980134884446
710418302F,ACM5_494_506,-0.2761553275672348,-0.2612694050609763,0.31430132235542707
710418302F,ADDB_696_708,0.12674476102874888,-0.19209853036775676,0.21619896189760204
710418302F,ADDB_706_718,0.07570209106030479,0.09485950272297528,0.13119050646474964
710418302F,BAD_69_81,-0.10370494207207948,0.018301113449304022,0.38434182926950383
710418302F,BAD_93_105,0.8426750353373205,-0.09956271670302863,0.5625755280629922
710418302F,BCKD_45_57,-0.1064264032881228,-0.13249792466896376,0.2370532355814343
710418302F,C1R_201_213,-0.3163685695454621,-0.0758813883812349,0.5312047923587769
710418302F,CENPA_1_14,0.033193118319424286,0.17501347070044232,0.26697785079106645
710418302F,ERBB2_679_691,-0.06261451576826005,-0.010751445485458255,0.2327734673616823
710418302F,ERF_519_531,0.16203900830685924,0.15647023907447694,0.45360559407927264
710418302F,GPR6_349_361,0.022832850309269404,0.04222156517990072,0.31292010295733447
710418302F,GSUB_61_73,0.29956028185890826,-0.1156036976206094,0.6095614962384022
710418302F,GYS2_1_13,-0.07515037830773075,0.10084027075869914,0.405389523086524
710418302F,H2B1B_ 27_40,0.14268992181564144,0.09703056048584813,0.2750057915926538
710418302F,H32_3_18,0.2602083617550299,-0.21619117929046744,0.3262702084003104
710418302F,KAPCG_192_206,0.4833617775553378,0.0925770059978411,0.27902286909365565
710418302F,KIF2C_105_118_S106G,-0.16086123073936598,-0.12734229422333154,0.18754022276121185
710418302F,KPCB_19_31_A25S,0.0527333827485279,0.1201543830039995,0.3484195629142653
710418302F,LMNA_192_204,-0.5252562545968882,-0.31474078092015045,0.4911338842532247
710418302F,MARCS_152_164,0.38504275898100637,9.317181773453124e-4,0.5168784072968455
710418302F,MP2K1_287_299,0.6819037667036651,0.18551708478214768,0.6532681780564422
710418302F,MPIP1_172_184,1.6127280291038675,0.6357799303960529,0.8155234106799317
710418302F,MPIP3_208_220,1.66296501272243,0.43214738029255695,0.8691957137731076
710418302F,NEK2_172_184,0.640646633298835,-0.31832175869256474,0.6368468662593019
710418302F,NEK3_158_170,-0.3941729793572426,-0.34985078521873236,0.5451160094049833
710418302F,NR4A1_344_356,-0.29456161550223214,-0.15781902960587374,0.5066655819490876
710418302F,PDE5A_95_107,0.3205715192973333,0.12890597193224657,0.46679983847339523
710418302F,PLEK_106_118,-0.07741963310057187,0.1205502662540058,0.2419841652476843
710418302F,PPR1A_28_40,-0.0707852273425491,0.12050520642462578,0.23464135771347616
710418302F,RAF1_253_265,0.10869649061225939,0.19641959888830574,0.34376118330332506
710418302F,RAP1B_172_184,0.09101252550285466,0.1630641223496892,0.23266793058973606
710418302F,RBL2_655_667,-0.40410520644164105,-0.1838280889485417,0.25048878107895695
710418302F,VASP_271_283,0.10069887225170149,0.12711994958573106,0.1328273722090087
710418302M,ACM1_444_456,-0.5224984137745032,-0.01372150104892882,0.4268980134884446
710418302M,ACM5_494_506,-0.6916050607663307,-0.2612694050609763,0.31430132235542707
710418302M,ADDB_696_708,-0.4288432988038746,-0.19209853036775676,0.21619896189760204
710418302M,ADDB_706_718,0.1803950647953112,0.09485950272297528,0.13119050646474964
710418302M,BAD_69_81,0.1571934982094767,0.018301113449304022,0.38434182926950383
710418302M,BAD_93_105,-0.46774184497316984,-0.09956271670302863,0.5625755280629922
710418302M,BCKD_45_57,-0.00838137375698178,-0.13249792466896376,0.2370532355814343
710418302M,C1R_201_213,-0.41374880331027164,-0.0758813883812349,0.5312047923587769
710418302M,CENPA_1_14,0.42487134373554447,0.17501347070044232,0.26697785079106645
710418302M,ERBB2_679_691,0.23880248241275126,-0.010751445485458255,0.2327734673616823
710418302M,ERF_519_531,0.49938479634023025,0.15647023907447694,0.45360559407927264
710418302M,GPR6_349_361,0.14268397185887416,0.04222156517990072,0.31292010295733447
710418302M,GSUB_61_73,0.8384979152206649,-0.1156036976206094,0.6095614962384022
710418302M,GYS2_1_13,0.24786501717807674,0.10084027075869914,0.405389523086524
710418302M,H2B1B_ 27_40,0.24389732889816074,0.09703056048584813,0.2750057915926538
710418302M,H32_3_18,-0.1890892072204382,-0.21619117929046744,0.3262702084003104
710418302M,KAPCG_192_206,0.06610150187568475,0.0925770059978411,0.27902286909365565
710418302M,KIF2C_105_118_S106G,0.021282081166093647,-0.12734229422333154,0.18754022276121185
710418302M,KPCB_19_31_A25S,0.4616815941018171,0.1201543830039995,0.3484195629142653
710418302M,LMNA_192_204,0.12309124741958577,-0.31474078092015045,0.4911338842532247
710418302M,MARCS_152_164,0.8367756051896729,9.317181773453124e-4,0.5168784072968455
710418302M,MP2K1_287_299,0.35700304550066875,0.18551708478214768,0.6532681780564422
710418302M,MPIP1_172_184,0.2479275134435861,0.6357799303960529,0.8155234106799317
710418302M,MPIP3_208_220,0.7567288489876365,0.43214738029255695,0.8691957137731076
710418302M,NEK2_172_184,-1.1289326639968995,-0.31832175869256474,0.6368468662593019
710418302M,NEK3_158_170,0.3325010250764553,-0.34985078521873236,0.5451160094049833
710418302M,NR4A1_344_356,-0.20865739593102672,-0.15781902960587374,0.5066655819490876
710418302M,PDE5A_95_107,0.3848417106676614,0.12890597193224657,0.46679983847339523
710418302M,PLEK_106_118,0.33162972374884525,0.1205502662540058,0.2419841652476843
710418302M,PPR1A_28_40,0.3940598013376757,0.12050520642462578,0.23464135771347616
710418302M,RAF1_253_265,0.3784549146575511,0.19641959888830574,0.34376118330332506
710418302M,RAP1B_172_184,0.39129116920242346,0.1630641223496892,0.23266793058973606
710418302M,RBL2_655_667,0.1274368039069671,-0.1838280889485417,0.25048878107895695
710418302M,VASP_271_283,0.2374615548399106,0.12711994958573106,0.1328273722090087
710418305F,ACM1_444_456,0.5897160306917906,-0.01372150104892882,0.4268980134884446
710418305F,ACM5_494_506,0.1862661653796911,-0.2612694050609763,0.31430132235542707
710418305F,ADDB_696_708,-0.0540109346501092,-0.19209853036775676,0.21619896189760204
710418305F,ADDB_706_718,-0.002229248510854376,0.09485950272297528,0.13119050646474964
710418305F,BAD_69_81,0.4507542495154615,0.018301113449304022,0.38434182926950383
710418305F,BAD_93_105,-0.05910661725717059,-0.09956271670302863,0.5625755280629922
710418305F,BCKD_45_57,-0.05668615407029254,-0.13249792466896376,0.2370532355814343
710418305F,C1R_201_213,0.903038270112912,-0.0758813883812349,0.5312047923587769
710418305F,CENPA_1_14,0.46322396447311753,0.17501347070044232,0.26697785079106645
710418305F,ERBB2_679_691,-0.043948750120325286,-0.010751445485458255,0.2327734673616823
710418305F,ERF_519_531,0.6681024514843434,0.15647023907447694,0.45360559407927264
710418305F,GPR6_349_361,0.60093731268130135,0.04222156517990072,0.31292010295733447
710418305F,GSUB_61_73,-0.05251904704942678,-0.1156036976206094,0.6095614962384022
710418305F,GYS2_1_13,0.7358534566536328,0.10084027075869914,0.405389523086524
710418305F,H2B1B_ 27_40,0.5373253373858233,0.09703056048584813,0.2750057915926538
710418305F,H32_3_18,-0.06423743510297353,-0.21619117929046744,0.3262702084003104
710418305F,KAPCG_192_206,0.22948184612276723,0.0925770059978411,0.27902286909365565
710418305F,KIF2C_105_118_S106G,-0.18630997722691767,-0.12734229422333154,0.18754022276121185
710418305F,KPCB_19_31_A25S,0.06940393168221526,0.1201543830039995,0.3484195629142653
710418305F,LMNA_192_204,0.30899586186851824,-0.31474078092015045,0.4911338842532247
710418305F,MARCS_152_164,-0.20708829126175843,9.317181773453124e-4,0.5168784072968455
710418305F,MP2K1_287_299,0.6508892931868289,0.18551708478214768,0.6532681780564422
710418305F,MPIP1_172_184,0.10715966634883323,0.6357799303960529,0.8155234106799317
710418305F,MPIP3_208_220,-0.41789715341808487,0.43214738029255695,0.8691957137731076
710418305F,NEK2_172_184,-0.8734024302217884,-0.31832175869256474,0.6368468662593019
710418305F,NEK3_158_170,-0.977934058646416,-0.34985078521873236,0.5451160094049833
710418305F,NR4A1_344_356,0.05730087074008683,-0.15781902960587374,0.5066655819490876
710418305F,PDE5A_95_107,0.7469349820822391,0.12890597193224657,0.46679983847339523
710418305F,PLEK_106_118,0.37026068658531486,0.1205502662540058,0.2419841652476843
710418305F,PPR1A_28_40,0.1972819975246196,0.12050520642462578,0.23464135771347616
710418305F,RAF1_253_265,0.7781007234439095,0.19641959888830574,0.34376118330332506
710418305F,RAP1B_172_184,0.3872234161386938,0.1630641223496892,0.23266793058973606
710418305F,RBL2_655_667,0.03504005988839154,-0.1838280889485417,0.25048878107895695
710418305F,VASP_271_283,0.29306066079905513,0.12711994958573106,0.1328273722090087
710418305M,ACM1_444_456,-0.36831676816107706,-0.01372150104892882,0.4268980134884446
710418305M,ACM5_494_506,-0.5305147166987796,-0.2612694050609763,0.31430132235542707
710418305M,ADDB_696_708,-0.3989124556518462,-0.19209853036775676,0.21619896189760204
710418305M,ADDB_706_718,0.13254396596316287,0.09485950272297528,0.13119050646474964
710418305M,BAD_69_81,0.09963740432985002,0.018301113449304022,0.38434182926950383
710418305M,BAD_93_105,0.05582552283983766,-0.09956271670302863,0.5625755280629922
710418305M,BCKD_45_57,0.18040096521411275,-0.13249792466896376,0.2370532355814343
710418305M,C1R_201_213,0.176020324984,-0.0758813883812349,0.5312047923587769
710418305M,CENPA_1_14,0.2667808278166639,0.17501347070044232,0.26697785079106645
710418305M,ERBB2_679_691,0.16955172976082977,-0.010751445485458255,0.2327734673616823
710418305M,ERF_519_531,0.29352104938499046,0.15647023907447694,0.45360559407927264
710418305M,GPR6_349_361,-0.040748196034813944,0.04222156517990072,0.31292010295733447
710418305M,GSUB_61_73,-0.40099966587856084,-0.1156036976206094,0.6095614962384022
710418305M,GYS2_1_13,0.29758430009552406,0.10084027075869914,0.405389523086524
710418305M,H2B1B_ 27_40,0.014209343226353255,0.09703056048584813,0.2750057915926538
710418305M,H32_3_18,-0.13428142293346834,-0.21619117929046744,0.3262702084003104
710418305M,KAPCG_192_206,0.10850828605816876,0.0925770059978411,0.27902286909365565
710418305M,KIF2C_105_118_S106G,-0.005247409326416985,-0.12734229422333154,0.18754022276121185
710418305M,KPCB_19_31_A25S,0.3328490692918251,0.1201543830039995,0.3484195629142653
710418305M,LMNA_192_204,-0.12269833825014675,-0.31474078092015045,0.4911338842532247
710418305M,MARCS_152_164,-0.5779591129833941,9.317181773453124e-4,0.5168784072968455
710418305M,MP2K1_287_299,0.29725012117170646,0.18551708478214768,0.6532681780564422
710418305M,MPIP1_172_184,0.1275880548848516,0.6357799303960529,0.8155234106799317
710418305M,MPIP3_208_220,0.6392240945076297,0.43214738029255695,0.8691957137731076
710418305M,NEK2_172_184,-0.14277525327308016,-0.31832175869256474,0.6368468662593019
710418305M,NEK3_158_170,0.0239208802950861,-0.34985078521873236,0.5451160094049833
710418305M,NR4A1_344_356,0.3324204687050054,-0.15781902960587374,0.5066655819490876
710418305M,PDE5A_95_107,0.1599125897045237,0.12890597193224657,0.46679983847339523
710418305M,PLEK_106_118,0.2076780421203548,0.1205502662540058,0.2419841652476843
710418305M,PPR1A_28_40,0.2866957956428351,0.12050520642462578,0.23464135771347616
710418305M,RAF1_253_265,0.16602519088014667,0.19641959888830574,0.34376118330332506
710418305M,RAP1B_172_184,0.27278476495416193,0.1630641223496892,0.23266793058973606
710418305M,RBL2_655_667,-0.15761604206754853,-0.1838280889485417,0.25048878107895695
710418305M,VASP_271_283,0.14165099796433012,0.12711994958573106,0.1328273722090087
