BioNavigator Version	6.3.67.0	PamGrid Version	QuantitationType	Median_SigmBg	Protocol file name	Image Analysis_STKDate	Thu, 02 Sep 2021 12:24:39 GMT
	Barcode	710373410	710373410	710373410	710373410	710373410	710373410	710373410	710373410	710373410	710373410	710373410	710373410	710373410	710373410	710373410	710373410	710373410	710373410	710373410	710373410	710373505	710373505	710373505	710373505	710373505	710373505	710373505	710373505	710373505	710373505	710373505	710373505	710373505	710373505	710373505	710373505	710373505	710373505	710373505	710373505	710373507	710373507	710373507	710373507	710373507	710373507	710373507	710373507	710373507	710373507	710373507	710373507	710373507	710373507	710373507	710373507	710373507	710373507	710373507	710373507
	Exposure time	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0
	Array	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	021-N	021-N	021-N	021-N	021-N	F034A-N-S	F034A-N-S	F034A-N-S	F034A-N-S	F034A-N-S	021-N-S	021-N-S	021-N-S	021-N-S	021-N-S	F034A-N	F034A-N	F034A-N	F034A-N	F034A-N	03-N	03-N	03-N	03-N	03-N	F3020A-N-S	F3020A-N-S	F3020A-N-S	F3020A-N-S	F3020A-N-S	03-N-S	03-N-S	03-N-S	03-N-S	03-N-S	F020A-N	F020A-N	F020A-N	F020A-N	F020A-N	09-N	09-N	09-N	09-N	09-N	F033K-N-S	F033K-N-S	F033K-N-S	F033K-N-S	F033K-N-S	09-N-S	09-N-S	09-N-S	09-N-S	09-N-S	F033K-N	F033K-N	F033K-N	F033K-N	F033K-N
	Cycle	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
ID
#REF		76.0	141.0	368.0	724.0	1460.0	82.0	162.0	380.0	751.0	1477.0	73.0	159.0	402.0	811.0	1588.0	82.0	172.0	425.0	845.0	1681.0	85.0	172.0	426.0	843.0	1667.0	87.0	173.0	439.0	862.0	1707.0	89.0	179.0	453.0	896.0	1791.0	90.0	177.0	440.0	890.0	1759.0	83.0	169.0	425.0	817.0	1673.0	84.0	169.0	407.0	822.0	1610.0	82.0	165.0	399.0	822.0	1655.0	85.0	162.0	419.0	820.0	1620.0
#REF		77.0	156.0	387.0	765.0	1510.0	79.0	157.0	395.0	774.0	1528.0	79.0	160.0	395.0	801.0	1551.0	91.0	167.0	434.0	826.0	1721.0	88.0	168.0	433.0	843.0	1694.0	90.0	179.0	444.0	868.0	1741.0	81.0	168.0	412.0	819.0	1635.0	92.0	180.0	451.0	913.0	1785.0	85.0	173.0	410.0	815.0	1670.0	83.0	176.0	419.0	832.0	1636.0	84.0	172.0	431.0	845.0	1698.0	81.0	168.0	414.0	838.0	1637.0
#REF		79.0	160.0	395.0	773.0	1530.0	81.0	164.0	383.0	781.0	1494.0	86.0	160.0	421.0	818.0	1643.0	91.0	179.0	447.0	883.0	1754.0	86.0	176.0	428.0	854.0	1697.0	87.0	178.0	435.0	865.0	1711.0	91.0	182.0	447.0	893.0	1769.0	89.0	177.0	434.0	863.0	1723.0	85.0	162.0	416.0	840.0	1667.0	86.0	168.0	421.0	824.0	1746.0	84.0	171.0	420.0	838.0	1651.0	85.0	178.0	423.0	852.0	1689.0
#REF		76.0	150.0	374.0	745.0	1482.0	81.0	161.0	411.0	806.0	1584.0	79.0	160.0	399.0	788.0	1550.0	82.0	167.0	417.0	826.0	1652.0	87.0	176.0	445.0	880.0	1726.0	89.0	174.0	438.0	886.0	1728.0	93.0	181.0	450.0	892.0	1780.0	93.0	185.0	448.0	906.0	1806.0	86.0	168.0	415.0	821.0	1640.0	83.0	161.0	410.0	810.0	1629.0	87.0	167.0	417.0	846.0	1662.0	84.0	168.0	427.0	850.0	1668.0
